Lap Distance,Cornering,Inclines,Camber,Grip,Wind (Avg. Speed),Temperature,Humidity,Air Density,Air Pressure,Wind (Gusts),Altitude,Roughness,Width,Rear Wing,Engine,Front Wing,Brake Balance,Differential,Suspension,Lap Time
4.3,3,18,68,9,45,27,42,37,94,61,83,95,21,110,104,1,95,38,332,82.536
3.3,15,51,60,10,37,30,33,59,67,28,68,95,47,319,1,1,87,112,235,63.431
3.2,53,95,32,76,50,37,18,13,36,28,90,20,52,416,1,393,234,299,143,60.673
5,51,84,93,90,56,33,56,65,44,30,84,37,50,328,241,383,227,203,97,97.539
3.6,100,53,66,60,53,20,68,64,71,55,27,35,34,413,20,478,371,399,14,68.258
3.9,70,34,31,4,91,29,9,20,5,62,18,60,8,500,30,500,84,97,80,73.855
4,21,97,49,33,10,14,23,27,31,82,91,55,23,497,1,253,98,142,25,76.578
3.1,18,91,84,8,98,38,59,9,34,82,48,76,6,379,30,394,59,1,171,59.235
3.5,73,9,20,60,31,40,95,47,68,12,73,14,87,382,37,43,181,228,71,68.487
4.4,68,95,17,13,4,25,77,18,16,13,14,33,45,500,1,299,222,73,1,84.137
4.4,45,77,90,86,75,40,30,80,9,11,28,15,84,321,319,348,357,328,121,85.092
3,43,6,50,87,17,25,37,11,22,95,89,52,43,340,1,310,233,1,391,57.119
4,0,37,18,8,38,37,95,24,52,5,49,51,87,295,59,77,110,1,171,76.262
3.3,30,10,51,87,63,29,21,8,16,34,95,76,35,500,149,266,129,75,176,63.481
4.5,24,51,72,77,22,1,75,37,84,6,63,55,40,280,149,130,189,30,179,86.971
4.5,50,28,30,100,79,18,4,59,90,13,87,5,91,27,189,1,50,443,404,88.157
4.5,50,24,63,20,25,9,83,46,58,59,20,50,96,206,1,153,359,192,280,86.501
3.9,67,54,58,3,26,29,37,30,31,25,92,32,42,500,1,359,22,1,141,74.866
2.9,92,100,24,88,67,10,20,30,52,54,68,35,8,500,32,472,173,249,157,55.291
3.7,81,16,35,59,27,6,23,97,30,84,80,79,7,205,1,139,13,168,15,71.096
4,67,75,32,22,27,24,36,56,31,22,76,48,100,500,74,333,500,433,134,76.312
4.8,46,83,56,7,76,36,24,16,98,26,8,7,23,281,119,190,121,26,1,91.105
3.5,83,45,90,41,13,16,3,78,16,80,26,99,69,347,1,173,500,249,153,66.766
4.6,68,87,89,35,12,19,57,84,95,2,52,98,95,340,1,176,434,341,86,88.83
3.8,82,39,37,59,20,10,53,7,62,53,19,80,1,311,22,198,130,69,224,74.003
4.3,47,49,5,58,84,1,28,70,89,84,59,23,81,225,1,2,162,211,200,82.571
4.4,38,55,15,97,59,23,39,67,94,31,71,2,61,1,227,4,135,275,138,83.751
3.7,13,22,7,41,21,26,60,96,75,8,86,75,99,1,7,1,337,251,355,70.659
4.7,93,25,84,79,49,30,1,56,6,18,48,63,41,314,1,267,360,233,303,90.654
4,77,64,8,77,29,16,49,30,25,62,5,6,33,500,173,366,168,139,172,77.129
4.1,0,86,49,77,17,15,62,37,94,73,84,70,5,59,178,1,57,1,58,77.917
4.1,11,36,97,56,95,18,62,45,41,70,78,73,28,469,43,325,188,1,164,79.176
3.2,24,57,2,91,2,33,81,58,42,6,5,53,3,312,249,130,1,1,4,61.677
4.3,94,84,61,33,61,18,23,68,36,47,3,67,86,461,8,340,386,500,1,81.881
4,89,49,74,81,18,33,56,17,95,33,19,26,80,335,116,342,373,243,102,76.854
2.9,32,83,56,16,74,35,75,25,95,78,96,93,74,355,23,307,340,202,1,55.956
4.2,37,93,26,48,47,21,14,30,80,19,5,70,19,500,44,141,193,1,1,81
5.1,9,4,47,20,88,40,63,14,62,15,94,18,52,245,1,172,1,1,49,97.382
3.4,97,36,22,19,91,29,32,7,43,62,95,92,85,455,1,323,500,180,159,65.205
3.5,95,86,38,4,24,26,45,46,80,93,27,30,40,456,133,350,317,126,50,66.959
2.9,40,22,13,56,95,30,5,97,69,80,14,41,92,1,79,26,201,76,111,55.916
3.6,69,88,25,70,56,22,80,71,57,8,78,83,76,498,111,209,428,347,79,68.71
5.1,62,95,49,44,72,32,81,99,60,6,49,50,80,323,469,326,325,377,38,98.706
3.2,3,82,6,66,66,18,12,17,81,56,20,93,23,276,146,39,113,24,56,61.355
4.4,19,19,5,51,77,22,79,97,67,55,31,87,22,61,100,155,156,99,110,85.214
3.9,58,5,21,3,52,9,89,88,65,82,97,4,98,64,1,1,163,118,17,74.93
3.8,13,21,52,25,68,36,67,5,24,72,25,85,85,396,1,205,266,1,209,72.076
3.2,89,93,88,48,81,7,9,65,65,83,69,37,46,420,1,287,357,298,18,61.414
3,9,88,41,67,74,4,89,1,76,27,86,90,95,500,1,393,100,210,172,57.517
3.8,68,74,75,66,3,19,36,89,58,26,81,92,77,86,83,1,375,479,121,73.654
3.7,71,46,10,20,32,2,60,19,74,7,77,48,50,477,1,175,270,99,169,71.29
4.4,12,80,80,80,18,4,70,51,60,94,40,6,49,183,42,149,77,163,161,84.034
4.2,64,12,19,93,67,20,60,72,80,92,23,68,72,214,313,58,277,193,200,80.015
4.2,84,16,12,69,68,26,29,78,59,72,19,92,79,289,149,211,457,366,312,81.262
3.9,94,45,54,21,96,22,27,88,20,52,57,61,25,500,1,346,155,273,76,74.286
4.4,85,61,72,21,13,6,84,82,56,59,98,36,30,318,16,349,122,228,192,84.679
4.1,75,23,55,0,61,35,57,72,98,21,16,56,100,91,93,181,494,210,196,79.088
4,95,40,72,98,29,37,74,77,78,66,1,70,9,337,477,340,281,232,345,77.553
3.4,31,22,37,52,46,20,61,6,76,22,44,30,95,290,67,55,92,139,81,66.121
3.5,42,55,95,45,50,22,44,56,23,59,15,1,60,316,1,199,178,105,117,66.692
5.1,10,94,65,74,61,34,18,68,90,55,53,8,83,1,405,87,1,212,256,98.982
2.9,2,92,53,19,22,9,41,78,61,68,15,27,54,94,6,143,41,1,50,55.179
3.6,18,21,53,83,55,24,7,53,33,54,87,33,86,266,1,17,113,91,326,68.751
3.6,62,21,46,27,37,8,8,37,83,32,57,61,80,182,1,116,303,1,128,67.837
4.4,57,4,59,47,45,32,42,68,7,21,62,63,87,143,107,215,254,204,167,85.083
4.6,32,93,85,75,2,2,14,91,59,64,75,38,66,1,1,206,232,305,242,89.715
3.3,87,93,41,26,100,10,23,44,83,1,64,47,81,408,30,316,380,443,144,63.823
3.2,94,95,3,21,34,25,3,22,66,92,28,32,7,323,114,355,69,82,1,61.969
3.6,34,71,44,9,50,19,31,27,91,84,40,94,39,251,1,131,198,122,132,68.695
3.5,29,14,61,8,51,11,78,57,72,93,96,17,66,60,1,211,135,1,58,66.886
3.7,46,54,27,49,13,9,94,31,10,54,69,83,6,378,1,270,202,30,5,71.563
3.3,2,96,61,35,38,21,95,17,78,66,99,11,10,351,1,283,1,1,141,62.521
3.9,45,65,23,73,66,21,31,40,91,92,48,18,86,296,221,308,198,355,151,75.256
4,89,3,75,8,69,18,84,33,29,61,66,64,3,379,39,468,64,17,64,76.367
4.7,21,82,90,71,35,12,96,83,19,85,4,90,62,497,447,158,155,80,84,90.733
5.1,59,66,43,86,82,35,87,20,57,83,85,59,90,500,177,305,190,310,107,98.907
4.6,17,11,63,87,29,17,85,47,23,45,75,81,74,375,1,1,157,118,403,88.463
3.9,24,44,6,40,25,39,84,25,35,63,13,70,58,486,115,308,78,98,171,74.392
5.1,33,68,92,17,25,33,3,5,84,84,82,6,9,152,1,170,1,4,46,96.678
3.2,92,31,35,3,65,12,94,59,52,37,58,30,61,457,1,388,225,171,79,60.461
3.4,91,79,13,17,99,22,47,72,31,30,31,9,59,500,98,317,167,190,165,65.999
2.9,61,14,50,16,60,11,39,76,55,32,31,3,91,115,1,73,314,1,1,55.762
3,84,86,9,93,78,26,43,54,23,40,75,21,36,363,1,500,304,500,13,58.34
4.5,94,97,7,44,24,1,45,5,48,76,21,5,42,456,1,500,256,335,1,85.88
3.2,16,71,99,53,4,11,22,44,46,13,74,55,0,316,1,114,1,75,238,61.403
3.5,28,82,21,82,49,3,3,12,41,2,62,3,63,180,20,328,37,79,49,66.791
3.8,67,40,55,14,83,3,42,7,52,25,99,29,36,356,1,251,1,130,182,74.064
4.8,41,8,19,95,32,0,84,100,23,5,100,55,14,83,1,109,1,1,223,90.948
3.4,87,7,26,4,28,31,15,80,18,48,48,77,16,214,98,343,266,1,33,65.368
4.4,81,80,8,46,12,36,84,49,23,10,97,98,92,500,39,336,500,500,69,83.264
3.2,72,82,18,83,74,9,37,19,30,9,28,63,54,374,23,477,370,330,115,61.697
4.4,85,92,17,61,23,29,54,41,72,81,71,40,85,500,1,440,500,500,1,85.001
3,53,16,70,75,49,8,86,23,35,48,18,8,82,312,1,244,21,85,148,57.427
4.7,90,80,28,97,83,35,66,60,91,41,92,24,85,471,342,379,342,500,1,90.38
4.7,63,14,13,55,56,23,67,94,41,13,58,12,74,213,1,33,272,88,205,90.449
4.1,92,36,71,18,87,25,84,77,68,50,21,53,85,320,1,202,267,333,31,79.295
4.4,88,47,49,6,28,5,86,93,4,13,66,8,74,341,1,500,238,145,1,83.73
3.4,47,8,82,64,62,29,52,15,30,95,14,86,51,437,1,292,231,1,148,64.217
4.6,83,58,13,35,66,24,7,62,30,13,4,92,1,337,107,231,11,63,42,88.647
4.4,68,52,27,18,26,40,4,25,63,19,74,36,42,250,1,375,128,110,1,84.264
3.1,49,66,51,52,50,37,44,10,18,50,60,4,39,422,1,345,176,13,100,59.266
4.8,63,91,32,74,29,28,15,12,79,23,6,28,41,354,144,174,284,126,1,93.656
4.7,7,18,43,62,39,5,87,89,63,42,98,26,55,173,125,78,12,62,221,90.15
4.8,87,12,15,62,96,15,44,40,50,44,76,61,63,500,1,281,287,1,145,91.236
4.6,17,52,37,55,27,12,12,64,68,72,1,77,74,163,131,1,1,83,172,88.057
5.1,44,14,41,50,63,8,33,97,42,34,33,11,13,108,111,1,94,1,245,98.185
4.6,75,48,4,97,71,35,82,44,87,79,32,81,92,411,430,250,464,394,109,87.806
3.6,79,51,98,72,23,17,5,77,39,73,70,56,81,260,24,269,325,415,306,68.705
4.9,20,58,14,3,1,6,7,82,99,16,22,38,18,1,53,39,1,1,1,92.473
3.8,90,16,65,26,27,28,58,14,20,47,15,63,72,490,38,381,306,126,206,72.065
4.1,68,99,11,50,74,1,1,81,52,71,6,18,67,350,38,382,146,120,149,78.515
5,37,27,30,29,94,3,64,8,43,27,19,51,52,390,1,487,191,123,279,97.502
3.3,63,96,21,97,8,5,36,3,30,5,85,52,47,411,1,452,280,275,110,62.649
4.5,49,27,85,93,44,13,89,6,38,19,5,76,77,468,1,318,294,178,354,85.333
3.6,6,38,44,27,48,35,33,86,14,100,73,5,67,45,83,161,50,1,83,68.491
3.9,53,18,54,64,37,6,33,92,18,16,43,17,97,240,20,95,332,75,285,75.332
3.2,42,6,76,58,52,30,69,32,40,91,78,86,33,380,1,283,141,1,309,60.641
4.4,32,9,46,93,65,17,72,55,75,46,92,73,86,62,156,104,296,113,269,84.673
5,61,43,14,80,58,22,11,39,86,21,97,16,50,236,1,248,179,62,147,95.129
3.3,59,93,68,73,71,11,63,21,39,63,44,85,1,404,125,441,36,62,74,62.746
5.1,82,76,56,39,31,16,19,76,18,92,53,10,72,384,1,397,198,351,121,96.22
3.2,66,23,76,67,68,34,37,68,85,97,72,41,43,278,1,14,215,36,92,61.88
4.3,49,53,84,93,22,0,44,45,85,73,5,41,19,219,119,114,134,104,255,82.162
4.2,48,84,66,82,81,40,6,50,42,85,56,75,51,318,252,375,225,284,195,80.86
4.4,65,39,72,27,9,5,84,51,50,3,18,84,62,264,1,216,321,90,291,84.524
3.2,84,71,26,39,99,16,49,27,68,38,16,24,43,426,143,500,110,80,152,62.035
4.8,12,61,93,71,47,21,11,76,38,51,42,70,77,122,119,179,145,126,362,92.361
4,15,8,61,87,4,24,84,66,52,95,76,53,48,118,109,126,107,1,380,76.239
4.3,82,64,37,6,81,23,50,26,63,25,43,83,45,354,1,374,249,1,171,82.62
4.1,1,18,34,50,64,1,71,12,61,35,76,61,59,311,25,72,1,127,298,78.574
4.5,5,90,13,36,89,22,54,27,8,25,52,93,74,500,1,315,204,1,35,85.473
4.7,91,21,23,67,71,20,59,56,50,64,45,35,34,484,1,304,70,196,257,90.516
5,7,73,82,81,6,18,51,11,53,76,80,37,81,196,21,60,84,146,123,96.059
3.7,82,23,65,67,30,18,37,34,88,94,68,7,1,204,30,319,86,1,1,70.64
4.8,22,78,80,13,20,3,3,44,88,55,15,60,49,193,1,1,1,1,238,91.827
4.6,55,14,5,93,52,21,72,28,1,26,17,59,92,500,142,340,319,220,209,87.699
3.2,97,36,86,87,84,39,44,50,3,84,62,15,77,448,75,500,316,500,307,61.395
4.8,14,25,87,64,73,7,91,45,72,58,29,35,44,377,178,22,1,38,268,92.37
3.2,80,11,26,84,29,5,10,98,52,43,66,83,89,57,2,140,313,195,110,61.49
3.7,88,1,3,77,46,34,88,7,19,10,15,33,62,500,1,455,437,156,66,71.289
3,16,44,84,98,31,12,95,2,65,77,18,13,91,341,106,381,95,197,332,57.15
4.6,49,29,35,11,55,7,93,5,36,73,30,67,24,500,1,292,20,1,100,86.95
3.2,51,8,70,68,94,4,53,29,49,96,50,27,21,412,81,424,1,1,69,61.551
4.1,83,35,34,84,49,12,42,50,90,29,95,84,72,293,136,43,453,288,272,79.356
4.8,46,54,41,63,8,6,90,34,61,15,80,66,2,464,1,272,1,25,242,92.225
2.9,34,99,4,3,27,12,8,48,71,76,25,72,90,400,1,313,260,177,91,54.903
3,71,43,86,2,61,31,10,46,78,59,86,41,0,412,67,205,1,1,138,57.43
5,89,23,91,26,7,37,75,17,99,19,21,51,23,77,181,1,151,67,93,96.546
3.8,7,42,98,98,2,39,96,5,84,91,16,28,86,228,424,226,183,136,292,72.727
4.3,66,36,63,52,59,31,48,51,32,92,21,25,51,315,1,452,150,250,151,82.514
4.9,32,32,60,28,30,9,95,77,60,65,6,94,1,371,106,1,1,147,1,94.731
2.9,54,5,43,22,49,29,83,31,77,52,58,70,66,356,99,220,170,132,196,56.055
3.5,41,60,68,23,10,16,77,3,70,63,11,62,74,295,42,259,283,66,180,67.217
4.8,67,14,26,37,12,12,60,54,55,14,31,31,58,299,1,110,129,1,240,91.839
4.3,48,52,89,80,91,6,76,98,42,64,1,49,42,287,363,242,15,35,262,82.874
4.1,30,42,51,63,41,8,67,42,90,59,4,89,87,206,232,1,141,1,223,79.284
4.5,28,82,69,43,86,4,18,98,15,79,85,18,3,155,34,217,155,1,140,86.683
3,2,34,52,97,65,9,50,46,2,61,76,96,18,336,1,110,1,57,426,57.319
3.9,19,71,53,67,23,29,3,50,51,58,78,7,99,170,1,231,233,301,55,74.147
2.9,12,2,79,18,97,16,8,97,81,75,55,43,74,94,1,135,1,1,255,55.358
3.5,90,59,26,55,56,37,69,43,58,20,90,17,61,448,17,417,166,426,179,67.054
2.9,57,20,36,80,87,0,88,16,79,21,83,35,40,500,51,261,44,1,145,54.952
4.3,16,8,48,28,85,28,37,99,95,15,15,61,45,133,218,91,150,152,316,84.261
4.9,7,69,70,90,32,5,62,38,90,30,8,15,87,153,118,154,63,120,88,94.495
4.9,67,90,20,67,6,13,21,16,84,15,85,7,63,208,1,334,103,248,123,93.31
4.2,1,91,13,43,66,6,38,45,45,29,43,90,79,283,59,1,125,1,292,80.804
3.7,94,34,81,12,71,13,89,38,11,37,1,65,93,368,1,500,500,296,227,71.21
5.1,13,51,19,1,1,30,78,59,54,95,41,73,68,171,110,152,27,91,216,98.914
3.6,94,72,80,3,17,37,33,7,57,12,34,91,29,433,92,500,316,1,181,69.915
4.5,21,3,94,74,45,19,11,66,72,14,93,59,37,35,1,1,182,1,164,85.706
2.9,17,9,69,20,56,31,88,77,58,38,92,38,20,11,1,1,143,1,236,55.477
3.5,86,58,73,84,34,18,49,37,22,84,80,78,6,402,1,280,254,260,79,67.967
4.4,18,91,2,79,78,26,42,66,63,12,32,99,10,500,242,1,237,113,144,85.054
4.8,67,27,93,23,11,32,65,0,4,95,13,6,95,406,1,500,405,22,88,92.029
4.9,88,84,31,89,18,26,6,33,52,58,46,54,41,500,1,234,368,335,104,93.779
3.3,43,2,65,11,13,8,82,5,7,40,7,38,69,307,127,197,99,132,304,64.651
4.1,23,51,37,58,86,20,98,9,11,48,80,12,23,373,1,499,1,161,5,79.226
3,22,8,70,30,21,33,75,1,6,36,8,94,66,500,1,443,215,1,221,56.531
3.6,81,6,19,8,84,8,30,97,66,78,94,52,69,151,86,20,295,55,39,68.599
4,73,21,38,10,7,31,7,83,20,11,7,53,4,2,108,153,1,1,79,76.558
5,73,5,64,8,16,4,84,59,20,83,23,46,5,232,120,342,191,1,139,96.609
4.8,73,92,94,46,10,21,86,78,37,32,34,72,55,470,251,314,405,470,1,93.238
3.9,50,16,40,79,4,0,82,53,36,79,23,27,38,292,1,59,95,77,111,74.912
4,63,15,99,19,67,28,95,5,49,92,89,95,9,405,20,292,94,8,225,76.427
2.9,41,5,43,58,9,14,18,23,34,28,17,98,3,261,1,1,192,80,252,55.538
3.5,62,19,46,46,24,29,57,46,6,36,83,32,51,288,1,338,138,90,217,66.262
4.8,26,15,45,83,24,27,27,44,46,63,37,72,34,176,154,1,49,92,219,92.142
3.8,21,90,32,66,41,10,60,95,34,32,66,59,43,142,16,139,109,156,1,72.91
3.1,79,64,16,35,78,31,91,42,59,4,75,4,40,384,42,475,71,138,199,59.914
4.2,37,16,30,39,29,13,0,47,61,1,60,18,44,9,1,1,61,1,127,78.84
3.3,59,88,99,36,73,30,88,24,27,96,96,36,83,403,66,477,274,329,263,63.042
4.3,8,43,73,12,74,6,49,2,93,6,29,4,38,249,103,74,1,54,1,82.213
4.2,0,100,80,23,51,31,39,65,69,79,90,13,60,34,1,154,1,149,212,81.838
4.3,43,23,58,77,39,37,27,78,97,43,18,2,97,1,377,159,296,179,157,83.55
5,100,83,52,72,50,30,71,89,76,18,21,30,54,395,147,463,488,426,134,95.674
3.8,28,67,4,62,40,17,8,99,59,20,5,53,70,1,110,183,238,40,147,73.66
3.4,84,39,96,38,27,19,48,90,94,81,32,19,53,1,121,1,208,62,122,65.16
4.8,2,90,53,47,33,5,67,24,12,26,29,50,92,500,121,361,22,1,293,93.3
3,19,52,35,61,77,16,90,15,13,96,32,62,16,500,38,500,1,1,72,56.991
3.8,49,27,87,76,87,16,63,93,74,72,9,82,33,138,303,45,254,16,86,74.014
4,72,90,64,9,89,19,19,91,9,89,90,39,12,500,128,390,132,21,84,76.732
3.8,36,83,89,44,57,18,44,29,72,63,35,40,0,344,26,150,113,1,185,72.92
5.1,0,97,17,50,25,32,49,13,58,89,98,4,19,359,1,295,1,1,78,97.073
4.9,40,60,61,26,50,15,26,34,77,44,75,57,77,427,1,138,114,1,104,93.555
4.2,54,13,59,43,17,26,24,63,97,93,7,67,50,3,132,119,267,129,323,81.39
3.5,77,24,86,29,24,32,90,49,82,6,95,70,57,303,139,95,419,60,302,68.007
3.6,37,56,85,92,42,11,33,8,61,53,91,49,60,482,1,295,99,182,291,68.58
4.8,34,83,92,40,91,33,19,72,12,93,70,75,7,500,60,452,63,112,137,91.165
4.2,52,32,86,20,92,32,46,78,55,6,21,3,20,146,1,64,180,2,1,81.376
4.5,23,52,60,7,59,22,96,5,32,64,83,90,5,500,1,403,1,19,91,84.456
4.9,63,81,17,71,12,21,19,46,87,95,33,20,92,196,160,247,166,255,58,94.552
4.3,16,53,12,94,17,18,87,72,91,17,81,7,28,1,122,162,45,1,29,83.786
4.6,79,90,14,47,72,32,60,77,2,10,27,1,65,436,119,500,209,435,1,87.656
4,10,15,47,73,12,5,22,39,40,72,34,52,3,192,1,1,1,1,319,76.094
3.8,86,21,71,93,38,31,16,12,60,73,94,8,78,341,1,421,355,146,196,72.543
3.5,51,35,6,7,78,26,80,4,36,1,35,92,56,490,1,345,401,1,172,66.512
4.3,91,51,37,15,86,6,49,79,13,45,38,24,6,500,105,500,9,118,53,82.543
3.9,54,10,77,90,66,1,81,77,62,51,41,82,98,164,1,246,432,219,429,75.33
5.1,18,54,10,15,68,39,29,44,20,63,32,39,32,345,1,158,120,1,176,97.426
4.8,44,46,50,21,84,18,37,20,78,82,69,63,11,449,1,144,1,23,1,91.626
4.7,60,75,44,76,34,31,78,78,73,76,63,1,5,265,251,309,1,108,1,89.177
4.5,51,40,14,43,41,13,10,73,63,24,80,31,21,278,124,236,1,5,228,87.966
4.8,78,25,85,76,58,34,69,20,95,85,27,29,2,276,247,204,119,1,65,92.416
3.9,54,12,12,44,30,31,25,65,23,21,49,38,99,235,1,221,328,335,321,74.796
4.6,48,44,54,71,96,7,85,52,87,57,87,94,8,500,131,166,210,65,139,88.287
2.9,14,7,55,1,76,27,40,79,56,61,11,29,76,149,20,34,20,1,17,55.163
4,65,1,61,87,100,7,85,49,20,82,64,82,73,500,1,226,217,1,204,76.753
4.9,67,78,7,64,56,39,14,94,79,19,12,65,16,237,313,226,34,331,20,94.28
3.3,4,7,1,76,48,4,83,47,15,56,49,66,76,298,145,178,91,107,163,64.212
3.7,81,78,99,96,5,1,40,37,9,36,80,1,12,500,146,500,1,25,115,71.407
4,53,87,32,56,98,29,43,4,18,57,66,89,33,500,1,500,67,179,225,76.556
3.6,14,75,35,4,92,37,20,78,22,25,87,18,83,445,18,235,54,1,17,68.89
5,25,98,11,79,85,26,70,16,96,19,64,68,49,485,255,194,50,144,127,95.23
4.6,84,74,21,36,35,20,81,97,45,54,55,39,26,387,1,121,107,175,103,88.768
4.1,64,13,63,88,8,31,27,35,58,52,96,20,57,179,1,97,314,119,159,78.354
4.3,28,95,67,51,85,40,74,11,54,54,39,14,21,394,276,462,1,120,1,82.726
4.4,68,23,50,8,64,10,50,90,28,89,6,62,52,432,1,227,214,34,1,83.516
3.6,32,7,75,2,97,24,66,79,26,10,82,93,5,495,122,29,19,136,80,70.141
4.7,94,2,32,12,66,38,20,92,26,45,83,76,86,219,120,104,430,50,217,90.495
3.2,69,87,86,31,9,6,82,12,92,23,33,58,17,418,153,246,163,1,1,61.243
3.2,7,56,87,12,59,4,39,93,43,79,37,2,24,14,71,1,26,1,134,60.937
4,37,70,15,1,4,3,99,58,33,30,50,86,50,331,152,273,32,137,1,78.02
4.9,80,12,80,62,33,12,8,17,18,77,90,96,30,500,50,217,228,20,109,94.21
3.9,81,14,44,81,100,24,85,44,48,26,13,71,96,500,150,476,470,458,104,75.655
3.1,65,26,27,7,79,21,92,95,77,42,17,66,58,217,111,1,253,173,176,59.515
4.6,40,98,4,22,58,2,12,16,33,95,25,52,59,500,143,500,270,75,1,88.633
4.1,13,51,83,70,89,15,57,29,82,93,43,15,75,352,90,252,1,157,276,78.65
3,13,60,35,22,16,24,70,44,84,8,96,4,22,73,72,1,128,1,64,57.029
4.8,72,85,71,64,14,23,30,96,22,17,86,13,81,185,1,296,97,384,70,91.808
3.5,66,58,11,29,44,34,63,42,74,42,33,21,65,489,165,334,212,193,10,67.49
3.6,20,61,23,31,30,5,86,11,98,11,78,46,74,220,1,135,4,1,136,68.269
3.7,70,94,63,11,6,23,40,36,37,62,1,43,63,500,1,416,311,220,87,70.53
4.2,34,99,78,74,77,30,48,2,81,50,78,15,30,500,162,322,34,106,121,80.568
4,66,67,32,89,79,34,8,85,29,11,90,22,29,239,131,220,228,204,275,77.972
3.3,27,63,22,61,78,25,38,21,8,72,13,88,22,500,80,442,27,1,65,63.065
4.9,74,91,43,95,19,32,94,67,30,10,74,32,92,351,267,245,364,500,67,93.951
4.9,34,93,79,3,21,28,40,86,78,83,69,80,75,209,27,56,276,12,1,93.725
3.6,72,23,40,56,4,3,59,83,84,42,24,65,32,58,1,98,67,137,248,68.907
4.7,35,89,60,88,26,6,24,86,89,5,41,19,79,1,86,1,75,371,140,89.92
4.5,34,13,40,56,80,23,57,60,58,14,21,36,6,325,166,162,44,30,295,87.137
5.1,82,16,90,88,54,38,82,41,81,25,77,89,83,500,204,274,427,376,344,98.337
3.8,68,72,44,67,72,24,45,66,36,25,23,2,9,270,185,444,40,1,1,73.883
4.3,95,14,93,41,71,26,42,4,80,17,87,27,31,437,127,500,342,173,201,83.683
3,21,15,86,38,26,23,8,25,86,67,36,44,67,139,122,132,128,84,147,57.979
4.2,4,14,49,60,73,6,36,7,73,14,1,99,26,403,36,120,126,31,172,81.057
3.4,30,11,30,70,40,37,27,92,37,25,75,31,69,1,71,21,231,120,123,64.931
3.2,52,50,42,77,73,29,93,68,83,15,28,62,28,266,196,1,274,56,213,62.571
4.2,6,75,76,94,75,14,56,70,45,62,7,94,16,499,425,105,1,1,183,80.701
4.7,61,72,5,24,63,10,97,41,52,45,88,29,46,500,5,274,139,1,192,90.072
5,87,88,8,63,63,18,1,0,78,41,12,49,98,406,39,484,375,385,147,95.298
3.6,1,76,74,51,75,17,27,47,22,86,91,66,34,465,1,301,1,128,169,69.417
3.7,82,99,66,1,83,0,46,15,60,61,51,58,84,500,1,456,387,235,1,70.257
3.1,14,43,43,35,92,24,44,90,65,47,75,45,25,288,18,41,118,92,36,59.733
4.6,17,25,42,89,45,10,75,15,89,15,30,46,84,107,150,1,51,88,326,88.844
4.4,39,33,67,46,15,23,52,74,32,34,13,66,86,292,1,36,274,175,182,83.807
4.9,59,82,23,31,58,30,97,88,25,88,98,1,96,377,163,312,217,364,1,94.209
3.4,64,48,42,61,9,37,22,56,76,10,85,61,7,166,1,1,224,139,1,65.403
5,14,91,63,12,86,28,34,23,64,49,98,41,66,323,76,321,45,118,185,96.674
4.8,89,32,6,11,62,27,98,34,37,62,58,84,44,438,1,500,219,185,184,92.534
3.8,83,69,30,39,1,32,59,79,83,92,35,59,96,168,91,163,424,489,208,72.419
3.1,37,15,76,56,72,29,80,33,30,27,82,52,25,379,1,189,27,1,128,58.707
4.5,74,61,41,99,15,4,68,50,68,10,30,20,83,267,175,199,148,469,328,86.653
4,99,7,70,60,6,22,77,84,60,79,2,23,33,277,195,205,403,301,118,77.03
3.8,18,12,99,45,74,18,78,29,72,58,28,67,10,270,15,111,62,72,199,71.703
5.1,17,20,37,89,35,9,24,63,80,71,84,19,45,121,85,37,148,1,139,97.958
4.8,47,84,23,5,56,7,80,9,63,2,48,4,35,465,1,405,30,55,1,90.362
3.2,74,21,23,85,46,0,50,7,23,81,66,54,56,361,149,500,228,146,156,62.19
5,80,57,51,20,59,0,14,52,79,31,11,63,80,474,72,323,259,1,77,95.99
4.7,23,95,8,72,39,10,46,75,75,36,5,61,50,401,346,62,1,154,215,90.82
4.9,60,79,51,52,40,40,35,5,12,63,62,55,99,500,1,494,325,481,86,92.869
5.1,43,55,75,35,68,10,80,31,97,89,82,6,12,135,78,181,1,62,67,97.394
4.9,88,35,12,56,22,25,84,36,47,62,9,61,2,394,111,273,166,26,62,93.64
5,41,85,78,88,36,39,42,39,51,60,23,44,61,402,395,331,288,467,147,96.414
4.1,100,95,17,53,42,14,71,97,38,95,92,42,6,478,67,478,325,284,1,78.545
4.3,18,46,46,84,20,2,15,12,77,37,38,73,55,248,147,217,54,1,357,83.131
5.1,81,79,75,14,27,19,89,2,56,21,26,27,38,492,1,500,38,60,143,97.255
5,85,31,98,2,92,27,87,96,82,4,19,34,60,380,1,173,315,175,1,95.326
5,31,58,35,65,35,14,5,41,15,32,98,10,5,167,1,341,1,1,143,94.969
3.7,99,5,26,52,20,30,85,62,4,50,61,15,1,464,1,500,52,1,1,70.267
4.9,31,35,33,16,4,16,56,53,28,8,35,26,66,147,1,37,143,1,82,92.706
5.1,57,56,54,8,37,23,61,84,69,73,33,80,70,180,1,181,195,212,83,97.656
3.6,30,94,31,1,8,32,65,26,43,88,44,36,93,300,1,228,305,135,1,68.922
4.8,26,79,62,59,22,1,2,66,53,59,5,27,52,46,1,186,125,1,47,91.922
